nohup: ignoring input
--- THE SOVEREIGN (METABOLIC REGULATOR) ONLINE ---
[17:14:14][SOVEREIGN] Balance: 99.49 MISO | Status: SOLVENT
[17:14:18][SOVEREIGN] Balance: 99.47 MISO | Status: SOLVENT
[17:14:20][SOVEREIGN] Balance: 99.46 MISO | Status: SOLVENT
[17:14:28][SOVEREIGN] Balance: 99.42 MISO | Status: SOLVENT
[17:14:36][SOVEREIGN] Balance: 99.38 MISO | Status: SOLVENT
[17:14:38][SOVEREIGN] Balance: 99.37 MISO | Status: SOLVENT
[17:14:56][SOVEREIGN] Balance: 99.28 MISO | Status: SOLVENT
[17:15:04][SOVEREIGN] Balance: 99.24 MISO | Status: SOLVENT
[17:15:06][SOVEREIGN] Balance: 99.23 MISO | Status: SOLVENT
[17:15:16][SOVEREIGN] Balance: 99.18 MISO | Status: SOLVENT
[17:15:24][SOVEREIGN] Balance: 99.14 MISO | Status: SOLVENT
[17:15:34][SOVEREIGN] Balance: 99.09 MISO | Status: SOLVENT
[17:15:48][SOVEREIGN] Balance: 99.02 MISO | Status: SOLVENT
[17:15:52][SOVEREIGN] Balance: 99.0 MISO | Status: SOLVENT
[17:16:00][SOVEREIGN] Balance: 98.96 MISO | Status: SOLVENT
[17:16:06][SOVEREIGN] Balance: 98.93 MISO | Status: SOLVENT
[17:16:08][SOVEREIGN] Balance: 98.92 MISO | Status: SOLVENT
[17:16:14][SOVEREIGN] Balance: 98.89 MISO | Status: SOLVENT
[17:16:18][SOVEREIGN] Balance: 98.87 MISO | Status: SOLVENT
[17:16:32][SOVEREIGN] Balance: 98.8 MISO | Status: SOLVENT
[17:16:34][SOVEREIGN] Balance: 98.79 MISO | Status: SOLVENT
[17:16:40][SOVEREIGN] Balance: 98.76 MISO | Status: SOLVENT
[17:16:44][SOVEREIGN] Balance: 98.74 MISO | Status: SOLVENT
[17:17:16][SOVEREIGN] Balance: 98.58 MISO | Status: SOLVENT
[17:17:38][SOVEREIGN] Balance: 98.47 MISO | Status: SOLVENT
[17:17:46][SOVEREIGN] Balance: 98.43 MISO | Status: SOLVENT
[17:17:52][SOVEREIGN] Balance: 98.4 MISO | Status: SOLVENT
[17:18:02][SOVEREIGN] Balance: 98.35 MISO | Status: SOLVENT
[17:18:12][SOVEREIGN] Balance: 98.3 MISO | Status: SOLVENT
[17:18:18][SOVEREIGN] Balance: 98.27 MISO | Status: SOLVENT
[17:18:24][SOVEREIGN] Balance: 98.24 MISO | Status: SOLVENT
[17:18:32][SOVEREIGN] Balance: 98.2 MISO | Status: SOLVENT
[17:18:38][SOVEREIGN] Balance: 98.17 MISO | Status: SOLVENT
[17:18:42][SOVEREIGN] Balance: 98.15 MISO | Status: SOLVENT
[17:18:56][SOVEREIGN] Balance: 98.08 MISO | Status: SOLVENT
[17:18:58][SOVEREIGN] Balance: 98.07 MISO | Status: SOLVENT
[17:19:02][SOVEREIGN] Balance: 98.05 MISO | Status: SOLVENT
[17:19:30][SOVEREIGN] Balance: 97.91 MISO | Status: SOLVENT
[17:19:36][SOVEREIGN] Balance: 97.88 MISO | Status: SOLVENT
[17:19:56][SOVEREIGN] Balance: 97.78 MISO | Status: SOLVENT
[17:20:12][SOVEREIGN] Balance: 97.7 MISO | Status: SOLVENT
[17:20:16][SOVEREIGN] Balance: 97.68 MISO | Status: SOLVENT
[17:20:26][SOVEREIGN] Balance: 97.63 MISO | Status: SOLVENT
[17:20:28][SOVEREIGN] Balance: 97.62 MISO | Status: SOLVENT
